plant;date;height_cm;width_cm;note;health
Rosa;26.05.2024;13.0;8.0;Added during plant creation;3
Gina;26.05.2024;8.0;5.0;Added during plant creation;3
Scully;26.05.2024;7.0;5.0;Added during plant creation;3
Hitchcock;26.05.2024;8.0;7.0;Added during plant creation;3
Beehome;03.06.2024;50.0;30.0;;3
Jerry;03.06.2024;22.0;20.0;;3
Sandy;03.06.2024;20.0;22.0;;3
Stefan;04.06.2024;15.0;20.0;;3
Brock;04.06.2024;12.0;6.0;;3
Cerberus;04.06.2024;9.0;6.5;;3
Elvis;04.06.2024;16.0;33.0;;3
Eva Longoria;04.06.2024;88.0;40.0;;3
Findus;04.06.2024;68.0;60.0;;3
Kelly;04.06.2024;16.0;12.0;;3
Kevin;04.06.2024;23.0;32.0;;3
Liliana;04.06.2024;21.0;27.0;;3
Lucy;04.06.2024;27.0;20.0;;3
Maria;04.06.2024;7.0;5.0;Slowly looking better;3
Nadja;04.06.2024;35.0;28.0;;3
Pepe;04.06.2024;3.0;4.0;Struggled during repot, but seems fine now;3
Peppa;04.06.2024;6.0;15.0;;3
Rosy;04.06.2024;38.0;47.0;Hard to measure, leaves move a lot;3
Zoey;04.06.2024;13.0;23.0;;3
Chrom;04.06.2024;27.0;30.0;;3
Darryl;04.06.2024;34.0;6.0;;3
Zane;04.06.2024;16.0;25.0;;3
Ivan;04.06.2024;9.0;8.0;;3
Hella;04.06.2024;20.0;42.0;;3
Terry;04.06.2024;18.0;15.0;;3
Martha;04.06.2024;12.0;23.0;Might want more sunlight;3
Dirk;04.06.2024;4.0;3.0;;3
Klaus;04.06.2024;50.0;30.0;;3
Mike;04.06.2024;30.0;20.0;;3
Biggie;04.06.2024;13.0;13.0;;3
Harry;04.06.2024;16.0;35.0;;3
Sam;04.06.2024;2.0;4.0;;3
Nosferatu;04.06.2024;32.0;30.0;;3
Tony;04.06.2024;21.0;16.0;;3
Louie;04.06.2024;12.0;10.0;;3
Jake;04.06.2024;15.0;13.0;;3
Charles;04.06.2024;14.0;10.0;;3
Ray;04.06.2024;16.0;17.0;;3
Amy;04.06.2024;13.0;13.0;;3
Rosa;04.06.2024;14.0;12.0;;3
Gina;04.06.2024;11.0;13.0;;3
Scully;04.06.2024;9.0;10.0;;3
Hitchcock;04.06.2024;13.0;12.0;;3
Lucas;04.06.2024;7.0;7.0;Added during plant creation;3
Nate;04.06.2024;8.0;7.0;Added during plant creation;3
Sandra;04.06.2024;12.0;8.0;Added during plant creation;3
Jim;04.06.2024;8.0;5.0;Added during plant creation;3
Tim;04.06.2024;7.0;6.0;Added during plant creation;3
Chris;04.06.2024;10.0;6.0;Added during plant creation;3
Bart;04.06.2024;3.0;6.0;Added during plant creation;3
Bond;04.06.2024;10.0;6.0;Added during plant creation;3
Tom;07.06.2024;28.0;32.0;;3
Stefan;10.06.2024;17.0;22.0;;3
Beehome;10.06.2024;69.0;48.0;;3
Brock;10.06.2024;6.0;15.0;;3
Cerberus;10.06.2024;10.0;8.0;Did not get enough sun, will go outside during sunny days;3
Elvis;10.06.2024;16.0;50.0;;3
Eva Longoria;10.06.2024;88.0;40.0;;3
Findus;10.06.2024;81.0;70.0;;3
Jerry;10.06.2024;29.0;29.0;;3
Kelly;10.06.2024;25.0;10.0;;3
Kevin;10.06.2024;31.0;35.0;;3
Liliana;10.06.2024;21.0;26.0;;3
Lucy;10.06.2024;32.0;24.0;;3
Sandy;10.06.2024;30.0;25.0;;3
Maria;10.06.2024;8.0;7.0;;3
Nadja;10.06.2024;40.0;30.0;;3
Pepe;10.06.2024;2.5;5.0;;3
Peppa;10.06.2024;8.0;15.0;;3
Rosy;10.06.2024;36.0;51.0;;3
Rosy;10.06.2024;41.0;46.0;;3
Chrom;10.06.2024;57.0;45.0;;3
Darryl;10.06.2024;34.0;7.0;;3
Ivan;10.06.2024;10.0;8.0;;3
Tom;10.06.2024;32.0;32.0;;3
Hella;10.06.2024;21.0;30.0;;3
Terry;10.06.2024;23.0;24.0;;3
Martha;10.06.2024;13.0;22.0;;3
Dirk;10.06.2024;4.0;3.0;;3
Klaus;10.06.2024;42.0;57.0;;3
Mike;10.06.2024;37.0;16.0;Spreading nicely;3
Biggie;10.06.2024;13.0;14.0;;3
Harry;10.06.2024;17.0;35.0;;3
Sam;10.06.2024;2.5;4.0;;3
Nosferatu;10.06.2024;31.0;46.0;;3
Tony;10.06.2024;25.0;13.0;;3
Louie;10.06.2024;14.0;16.0;;3
Jake;10.06.2024;18.0;20.0;;3
Charles;10.06.2024;21.0;20.0;;3
Ray;10.06.2024;25.0;24.0;;3
Amy;10.06.2024;15.0;15.0;DOne;3
Rosa;10.06.2024;17.0;18.0;;3
Gina;10.06.2024;18.0;20.0;Desperately needs a repot;3
Scully;10.06.2024;14.0;15.0;;3
Hitchcock;10.06.2024;15.0;17.0;;3
Lucas;10.06.2024;7.0;6.0;Grows well, but doesn't have a lot of space under Lucy;3
Nate;10.06.2024;10.0;7.0;;3
Sandra;10.06.2024;10.0;8.0;;3
Jim;10.06.2024;8.0;5.0;;3
Tim;10.06.2024;8.0;9.0;;3
Chris;10.06.2024;13.0;7.0;;3
Bart;10.06.2024;7.0;4.0;;3
Bond;10.06.2024;7.0;8.0;;3
