Date;Plant;Height;Width;Note
16.07.2024;Lucy;46.0;32.0;first fruit
31.07.2024;Lucy;50.0;36.0;
07.04.2024;Sandy;7.0;4.0;
14.04.2024;Sandy;9.0;4.0;
24.04.2024;Sandy;9.0;8.0;
08.05.2024;Sandy;9.0;8.0;
13.05.2024;Sandy;11.5;10.5;
20.05.2024;Sandy;14.0;13.0;
24.05.2024;Sandy;15.0;14.0;
03.06.2024;Sandy;20.0;22.0;
10.06.2024;Sandy;30.0;25.0;
14.06.2024;Sandy;26.0;26.0;
25.06.2024;Sandy;34.0;30.0;
03.07.2024;Sandy;38.0;35.0;
16.07.2024;Sandy;37.0;36.0;
31.07.2024;Sandy;41.0;32.0;
08.04.2024;Maria;2.0;2.0;
14.04.2024;Maria;2.5;2.0;
03.05.2024;Maria;2.0;1.0;
20.05.2024;Maria;5.0;3.0;
04.06.2024;Maria;7.0;5.0;Slowly looking better
10.06.2024;Maria;8.0;7.0;
25.06.2024;Maria;9.0;8.0;Still not very bushy sadly
03.07.2024;Maria;10.0;10.0;
16.07.2024;Maria;16.0;10.0;
31.07.2024;Maria;13.0;18.0;Fell over, but recovered
08.04.2024;Nadja;10.0;5.0;
14.04.2024;Nadja;12.0;5.0;
24.04.2024;Nadja;15.0;5.0;
08.05.2024;Nadja;22.0;17.0;
13.05.2024;Nadja;24.0;19.0;First buds formed
20.05.2024;Nadja;29.0;20.0;
24.05.2024;Nadja;28.0;25.0;
04.06.2024;Nadja;35.0;28.0;
10.06.2024;Nadja;40.0;30.0;
14.06.2024;Nadja;40.0;26.0;
25.06.2024;Nadja;44.0;24.0;Leaves keep drooping since chilis started growing, there's probably not enough nutrients
03.07.2024;Nadja;42.0;37.0;Adding some fertilizer to water helped
16.07.2024;Nadja;49.0;28.0;
31.07.2024;Nadja;49.0;31.0;
08.04.2024;Pepe;6.5;4.0;
14.04.2024;Pepe;7.0;4.0;
03.05.2024;Pepe;7.0;4.0;
20.05.2024;Pepe;2.5;4.0;
04.06.2024;Pepe;3.0;4.0;Struggled during repot, but seems fine now
10.06.2024;Pepe;2.5;5.0;
25.06.2024;Pepe;2.0;4.5;Still not rooting properly
03.07.2024;Pepe;3.0;4.0;Roots seem to have come out, new flowering buds are forming, but still hanging a bit sideways
16.07.2024;Pepe;3.0;5.0;
02.08.2024;Pepe;7.0;4.5;
08.04.2024;Peppa;4.0;10.0;
14.04.2024;Peppa;4.0;13.0;
03.05.2024;Peppa;5.0;26.0;
20.05.2024;Peppa;8.0;18.0;
04.06.2024;Peppa;6.0;15.0;
10.06.2024;Peppa;8.0;15.0;
25.06.2024;Peppa;5.0;18.0;
03.07.2024;Peppa;18.0;6.0;
16.07.2024;Peppa;7.0;16.0;
31.07.2024;Peppa;11.0;13.0;
08.04.2024;Rosy;45.0;40.0;
03.05.2024;Rosy;35.0;35.0;
20.05.2024;Rosy;44.0;35.0;
04.06.2024;Rosy;38.0;47.0;Hard to measure, leaves move a lot
10.06.2024;Rosy;36.0;51.0;
10.06.2024;Rosy;41.0;46.0;
25.06.2024;Rosy;48.0;42.0;Needs a new pot
03.07.2024;Rosy;44.0;58.0;doing a lot better since she has new soil
16.07.2024;Rosy;39.0;59.0;New leaf uncurling
02.08.2024;Rosy;50.0;56.0;
14.04.2024;Zoey;0.0;0.0;Planted Seeds
18.04.2024;Zoey;0.1;0.1;First Sprouts
22.04.2024;Zoey;10.0;1.0;Repotted
03.05.2024;Zoey;18.0;8.0;
20.05.2024;Zoey;13.0;12.0;
04.06.2024;Zoey;13.0;23.0;
14.06.2024;Zoey;13.0;35.0;
18.06.2024;Zoey;24.0;50.0;
25.06.2024;Zoey;38.0;64.0;Still no fruit even though there are a lot of flowers
03.07.2024;Zoey;45.0;95.0;
16.07.2024;Zoey;53.0;82.0;Still no fruit
31.07.2024;Zoey;31.0;41.0;
03.05.2024;Chrom;15.0;5.0;
18.05.2024;Chrom;20.0;20.0;
20.05.2024;Chrom;18.0;15.0;
04.06.2024;Chrom;27.0;30.0;
10.06.2024;Chrom;57.0;45.0;
14.06.2024;Chrom;60.0;45.0;
25.06.2024;Chrom;32.0;35.0;
03.07.2024;Chrom;72.0;60.0;
16.07.2024;Chrom;102.0;82.0;Flowering
31.07.2024;Chrom;110.0;78.0;
15.08.2024;Chrom;107.0;83.0;
05.05.2024;Darryl;33.0;10.0;
20.05.2024;Darryl;33.0;9.5;
04.06.2024;Darryl;34.0;6.0;
10.06.2024;Darryl;34.0;7.0;
25.06.2024;Darryl;34.0;9.0;
03.07.2024;Darryl;33.0;10.0;Many new sprouts and great color since he has more light
16.07.2024;Darryl;36.0;11.0;
02.08.2024;Darryl;33.0;14.0;
03.05.2024;Zane;7.0;5.0;
20.05.2024;Zane;11.5;10.0;
04.06.2024;Zane;16.0;25.0;
14.06.2024;Zane;10.0;35.0;
18.06.2024;Zane;24.0;41.0;
25.06.2024;Zane;32.0;55.0;Still no fruit even though there are a lot of flowers
16.07.2024;Zane;54.0;62.0;Still no fruit
31.07.2024;Zane;40.0;40.0;
03.05.2024;Ivan;8.0;5.0;
20.05.2024;Ivan;9.0;8.5;
04.06.2024;Ivan;9.0;8.0;
10.06.2024;Ivan;10.0;8.0;
25.06.2024;Ivan;8.0;9.0;
03.07.2024;Ivan;10.0;11.0;
16.07.2024;Ivan;10.0;10.0;
02.08.2024;Ivan;10.0;8.0;
03.05.2024;Tom;11.0;8.0;
17.05.2024;Tom;15.5;17.0;
20.05.2024;Tom;16.0;17.0;
24.05.2024;Tom;17.0;17.0;
07.06.2024;Tom;28.0;32.0;
10.06.2024;Tom;32.0;32.0;
25.06.2024;Tom;40.0;35.0;
03.07.2024;Tom;38.0;55.0;
16.07.2024;Tom;38.0;47.0;Almost died from heat
31.07.2024;Tom;34.0;56.0;
15.08.2024;Tom;35.0;53.0;
05.05.2024;Hella;32.0;28.0;
20.05.2024;Hella;13.0;36.0;
04.06.2024;Hella;20.0;42.0;
10.06.2024;Hella;21.0;30.0;
14.06.2024;Hella;22.0;46.0;
25.06.2024;Hella;22.0;43.0;Some leaves burnt from heavy sun
16.07.2024;Hella;25.0;41.0;Too many burned leaves
31.07.2024;Hella;36.0;15.0;
03.05.2024;Terry;5.0;9.0;
26.05.2024;Terry;13.0;10.0;
04.06.2024;Terry;18.0;15.0;
10.06.2024;Terry;23.0;24.0;
14.06.2024;Terry;26.0;28.0;Dome
25.06.2024;Terry;52.0;33.0;first flower buds
03.07.2024;Terry;80.0;53.0;
16.07.2024;Terry;91.0;50.0;
31.07.2024;Terry;60.0;82.0;
15.08.2024;Terry;110.0;60.0;
03.05.2024;Martha;13.0;17.0;
20.05.2024;Martha;11.0;23.0;
04.06.2024;Martha;12.0;23.0;Might want more sunlight
10.06.2024;Martha;13.0;22.0;
25.06.2024;Martha;20.0;25.0;
03.07.2024;Martha;38.0;17.0;
16.07.2024;Martha;19.0;32.0;
31.07.2024;Martha;24.0;30.0;
05.05.2024;Dirk;3.0;1.0;
20.05.2024;Dirk;5.0;2.0;
04.06.2024;Dirk;4.0;3.0;
10.06.2024;Dirk;4.0;3.0;
25.06.2024;Dirk;4.5;2.0;
03.07.2024;Dirk;4.0;3.0;
16.07.2024;Dirk;4.0;4.0;
02.08.2024;Dirk;4.0;3.5;
03.05.2024;Klaus;15.0;5.0;
18.05.2024;Klaus;22.0;23.0;
20.05.2024;Klaus;20.0;15.0;
04.06.2024;Klaus;50.0;30.0;
10.06.2024;Klaus;42.0;57.0;
14.06.2024;Klaus;56.0;27.0;
25.06.2024;Klaus;70.0;65.0;
03.07.2024;Klaus;104.0;80.0;
16.07.2024;Klaus;112.0;100.0;Flowering
31.07.2024;Klaus;130.0;110.0;
15.08.2024;Klaus;128.0;100.0;Cob is growing, and side plant appeared
06.05.2024;Mike;22.0;10.0;Added during plant creation
20.05.2024;Mike;23.0;12.0;
04.06.2024;Mike;30.0;20.0;
10.06.2024;Mike;37.0;16.0;Spreading nicely
14.06.2024;Mike;37.0;16.0;
30.06.2024;Mike;45.0;25.0;
03.07.2024;Mike;50.0;20.0;Some yellow leaves, otherwise doing great
16.07.2024;Mike;46.0;26.0;Almost died from heat
31.07.2024;Mike;47.0;23.0;Last pot broke during the move
06.05.2024;Biggie;9.0;14.0;Added during plant creation
20.05.2024;Biggie;12.0;12.0;
04.06.2024;Biggie;13.0;13.0;
10.06.2024;Biggie;13.0;14.0;
14.06.2024;Biggie;12.0;26.0;
25.06.2024;Biggie;12.0;18.0;
16.07.2024;Biggie;16.0;25.0;Finally new leaves
31.07.2024;Biggie;16.0;22.0;Old leaf broke off, but new one is already growing
06.05.2024;Harry;25.0;20.0;Added during plant creation
20.05.2024;Harry;21.0;29.0;
24.05.2024;Harry;15.0;30.0;
04.06.2024;Harry;16.0;35.0;
10.06.2024;Harry;17.0;35.0;
14.06.2024;Harry;18.0;37.0;
25.06.2024;Harry;19.0;35.0;
03.07.2024;Harry;29.0;34.0;
16.07.2024;Harry;23.0;33.0;Missed some watering while I was away
31.07.2024;Harry;27.0;35.0;
15.08.2024;Harry;26.0;35.0;
06.05.2024;Sam;1.0;6.0;Added during plant creation
04.06.2024;Sam;2.0;4.0;
10.06.2024;Sam;2.5;4.0;
25.06.2024;Sam;3.0;3.0;
03.07.2024;Sam;2.5;3.5;Looking very healthy again
16.07.2024;Sam;2.0;3.0;
02.08.2024;Sam;2.0;3.0;
08.05.2024;Nosferatu;8.0;0.1;Added during plant creation
17.05.2024;Nosferatu;23.0;10.0;Tallest plant, more bulbs have sprouted
20.05.2024;Nosferatu;28.0;15.0;
24.05.2024;Nosferatu;30.0;1.0;
04.06.2024;Nosferatu;32.0;30.0;
10.06.2024;Nosferatu;31.0;46.0;
14.06.2024;Nosferatu;34.0;30.0;
25.06.2024;Nosferatu;35.0;35.0;
03.07.2024;Nosferatu;36.0;17.0;Doesn't seem to be growing much anymore
16.07.2024;Nosferatu;36.0;20.0;Probably reaching the end of his life, flowers seem unlikely
31.07.2024;Nosferatu;25.0;10.0;at the end of life
19.05.2024;Tony;14.0;8.0;Added during plant creation
04.06.2024;Tony;21.0;16.0;
